CDM updated (Initial/Date),FA updated (Initial/Date),Title (Current),Title (Suggested changes),Photographer,Date-EDTF,Date,Dates,Notes (Current),Notes (Suggested changes),Subjects-LCTGM (Current),Subjects-LCTGM (Suggested changes),Subjects-LCSH (Current),Subjects-LCSH (Suggested changes in red),deprecated_values,Location Depicted (Current),Location Depicted (Suggested),Digital Collection,Order Number,Ordering Information,Citation Information,Negative Number,Repository,Repository Collection,Repository Collection Guide,Object Type,Physical Description,Digital Reproduction Information,Studio Loc.,Original Creator,Studio Name,Photographer's Reference Number,Contributor,Acquisition,Rights URI,Restrictions,Type-DCMI,Institution,Reference URL,CONTENTdm number,CONTENTdm file name,location name in md?
JL 2023-11-15,SF 10/26/23,"Eskimo child on the deck of a whaling ship, Port Clarence, Alaska, July 1899.","Iñupiat child on the deck of a whaling ship, Port Clarence, Alaska, July 1899","Devereux, W.B.",1899-07,"July, 1899",1899,"From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 174, right.  Caption on image: Eskimos on a Whaler  Photograph taken by W.B. Devereux, mining engineer, member of the 1899 Harriman Expedition.","From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 174, right.  
Letterpress printed on album page: Eskimos on a Whaler.  
Photograph taken by W.B. Devereux, mining engineer, member of the 1899 Harriman Expedition.",Eskimos--Children--Clothing & dress--Alaska--Port Clarence; Fur garments; Decks (Ships),,Harriman Alaska Expedition (1899); Whaling ships--Alaska--Port Clarence; Parkas--Alaska--Port Clarence,Inupiat children--Alaska--Port Clarence; Inupiat--Clothing--Alaska--Port Clarence; Leather garments--Alaska--Port Clarence; Fur garments--Alaska--Port Clarence; Parkas--Alaska--Port Clarence; Whaling ships--Alaska--Port Clarence; Port Clarence (Alaska),"Title || Eskimo child on the deck of a whaling ship, Port Clarence, Alaska, July 1899. || 2023-10;; Subjects (LCTGM) || Eskimos--Children--Clothing & dress--Alaska--Port Clarence || 2023-10",United States--Alaska--Port Clarence,no change,Harriman Alaska Expedition Collection,HAR042,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.washington.edu/specialcollections/services/reproduction/reproduction Please cite the Order Number","University of Washington Libraries, Special Collections, [Order Number or Negative Number]",NA2124,"University of Washington Libraries, Special Collections",Harriman Alaska Expedition Collection. PH Coll 333,http://archiveswest.orbiscascade.org/ark:/80444/xv20530,Photograph; image,"silver gelatin, b&w             ",Scanned from a photographic print using a Microtek Scanmaker 9600XL at 72 dpi in JPEG format at compression rate 3. 11/1998.,,,,[92],University of Washington Libraries. Special Collections Division,,http://rightsstatements.org/vocab/CNE/1.0/,For information on permissions for use and reproductions please visit UW Libraries Special Collections Use Permissions page: http://www.lib.washington.edu/specialcollections/services/permission-for-use,StillImage,special collections,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/harriman/id/198,198,200.jpg,Y
JL 2023-11-15,SF 10/26/23,"Eskimos in umiaks, or skin boats, bartering their goods and curios alongside the GEO. W. ELDER, Port Clarence, Alaska, July 1899.","Iñupiat people in umiaks, or skin boats, bartering their goods and curios alongside the GEO. W. ELDER, Port Clarence, Alaska, July 1899","Merriam, C. Hart (Clinton Hart), 1855-1942",1899-07,"July, 1899",1899,"From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 168.  Caption on image: Traders at the Landing Stage  Photograph taken by Dr. Clinton Hart Merriam, Chief of the Biological Survey, U.S. Department of Agriculture, member of the 1899 Harriman Alaska Expedition.","From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 168.  
Letterpress printed on album page: Traders at the Landing Stage.  
Photograph taken by Dr. Clinton Hart Merriam, Chief of the Biological Survey, U.S. Department of Agriculture, member of the 1899 Harriman Alaska Expedition.",Barter--Alaska--Port Clarence; Steamboats--Alaska--Port Clarence,,Harriman Alaska Expedition (1899); George W. Elder (Steamship); Eskimos--Boats--Alaska--Port Clarence; Umiaks--Alaska--Port Clarence,"Harriman Alaska Expedition (1899); 
George W. Elder (Steamship); 
Inupiat--Boats--Alaska--Port Clarence;
Umiaks--Alaska--Port Clarence;
Steamboats--Alaska--Port Clarence;
Barter--Alaska--Port Clarence;
Port Clarence (Alaska)","Title || Eskimos in umiaks, or skin boats, bartering their goods and curios alongside the GEO. W. ELDER, Port Clarence, Alaska, July 1899. || 2023-10;; Subjects (LCSH) || Eskimos--Boats--Alaska--Port Clarence || 2023-10",United States--Alaska--Port Clarence,no change,Harriman Alaska Expedition Collection,HAR056,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.washington.edu/specialcollections/services/reproduction/reproduction Please cite the Order Number","University of Washington Libraries, Special Collections, [Order Number or Negative Number]",NA2118,"University of Washington Libraries, Special Collections",Harriman Alaska Expedition Collection. PH Coll 333,http://archiveswest.orbiscascade.org/ark:/80444/xv20530,Photograph; image,"silver gelatin, b&w             ",Scanned from a photographic print using a Microtek Scanmaker 9600XL at 72 dpi in JPEG format at compression rate 3. 11/1998.,,,,Merriam 218,University of Washington Libraries. Special Collections Division,,http://rightsstatements.org/vocab/CNE/1.0/,For information on permissions for use and reproductions please visit UW Libraries Special Collections Use Permissions page: http://www.lib.washington.edu/specialcollections/services/permission-for-use,StillImage,special collections,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/harriman/id/199,199,201.jpg,Y
JL 2023-11-15,SF 10/26/23,"Eskimos in umiaks, or skin boats, approaching the GEO. W. ELDER to barter, Port Clarence, Alaska, July 1899.","Iñupiat people in umiaks, or skin boats, approaching the GEO. W. ELDER to barter, Port Clarence, Alaska, July 1899","Harriman, Edward Henry, 1848-1909",1899-07,"July, 1899",1899,"From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 167.  Caption on image: Eskimos in Umiaks--Port Clarence, Alaska  Photograph taken by Edward Henry Harriman, patron and member of the 1899 Harriman Alaska Expedition.","From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 167.  
Letterpress printed on album page: Eskimos in Umiaks--Port Clarence, Alaska.  
Photograph taken by Edward Henry Harriman, patron and member of the 1899 Harriman Alaska Expedition.",Steamboats--Alaska--Port Clarence,,Harriman Alaska Expedition (1899); George W. Elder (Steamship); Eskimos--Boats--Alaska--Port Clarence; Umiaks--Alaska--Port Clarence,"Harriman Alaska Expedition (1899); 
George W. Elder (Steamship); 
Inupiat--Boats--Alaska--Port Clarence;
Umiaks--Alaska--Port Clarence;
Steamboats--Alaska--Port Clarence;
Barter--Alaska--Port Clarence;
Port Clarence (Alaska)","Title || Eskimos in umiaks, or skin boats, approaching the GEO. W. ELDER to barter, Port Clarence, Alaska, July 1899. || 2023-10;; Subjects (LCSH) || Eskimos--Boats--Alaska--Port Clarence || 2023-10",United States--Alaska--Port Clarence,no change,Harriman Alaska Expedition Collection,HAR054,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.washington.edu/specialcollections/services/reproduction/reproduction Please cite the Order Number","University of Washington Libraries, Special Collections, [Order Number or Negative Number]",NA2117,"University of Washington Libraries, Special Collections",Harriman Alaska Expedition Collection. PH Coll 333,http://archiveswest.orbiscascade.org/ark:/80444/xv20530,Photograph; image,"silver gelatin, b&w             ",Scanned from a photographic print using a Microtek Scanmaker 9600XL at 72 dpi in JPEG format at compression rate 3. 11/1998.,,,,Harriman 147,University of Washington Libraries. Special Collections Division,,http://rightsstatements.org/vocab/CNE/1.0/,For information on permissions for use and reproductions please visit UW Libraries Special Collections Use Permissions page: http://www.lib.washington.edu/specialcollections/services/permission-for-use,StillImage,special collections,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/harriman/id/200,200,202.jpg,Y
JL 2023-11-15,SF 10/26/23,"Eskimo children dressed in hair seal or reindeer skin parkas, Port Clarence, Alaska, July 1899.","Iñupiat children dressed in hair seal or reindeer skin parkas, Port Clarence, Alaska, July 1899","Curtis, Edward S., 1868-1952",1899-07,"July, 1899",1899,"From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 170.  Caption on image: Eskimo Children--Port Clarence  Photograph taken by Edward S. Curtis, official photographer, member of the 1899 Harriman Alaska Expedition.","From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 170.  
Letterpress printed on album page: Eskimo Children--Port Clarence.  
Photograph taken by Edward S. Curtis, official photographer, member of the 1899 Harriman Alaska Expedition.",Eskimos--Children--Clothing & dress--Alaska--Port Clarence; Leather garments--Alaska--Port Clarence; Fur garments; Group portraits; Beaches--Alaska--Port Clarence,,Harriman Alaska Expedition (1899); Parkas--Alaska--Port Clarence,Inupiat children--Alaska--Port Clarence; Inupiat--Clothing--Alaska--Port Clarence; Leather garments--Alaska--Port Clarence; Fur garments--Alaska--Port Clarence; Parkas--Alaska--Port Clarence; Beaches--Alaska--Port Clarence; Port Clarence (Alaska),"Title || Eskimo children dressed in hair seal or reindeer skin parkas, Port Clarence, Alaska, July 1899. || 2023-10;; Subjects (LCTGM) || Eskimos--Children--Clothing & dress--Alaska--Port Clarence || 2023-10",United States--Alaska--Port Clarence,no change,Harriman Alaska Expedition Collection,HAR043,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.washington.edu/specialcollections/services/reproduction/reproduction Please cite the Order Number","University of Washington Libraries, Special Collections, [Order Number or Negative Number]",NA2120,"University of Washington Libraries, Special Collections",Harriman Alaska Expedition Collection. PH Coll 333,http://archiveswest.orbiscascade.org/ark:/80444/xv20530,Photograph; image,"silver gelatin, b&w             ",Scanned from a photographic print using a Microtek Scanmaker 9600XL at 72 dpi in JPEG format at compression rate 3. 11/1998.,,,,E.S. Curtis x386,University of Washington Libraries. Special Collections Division,,http://rightsstatements.org/vocab/CNE/1.0/,For information on permissions for use and reproductions please visit UW Libraries Special Collections Use Permissions page: http://www.lib.washington.edu/specialcollections/services/permission-for-use,StillImage,special collections,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/harriman/id/201,201,203.jpg,Y
JL 2023-11-15,SF 10/26/23,"Eskimo in kayak, Port Clarence, Alaska, July 1899.","Iñupiat man in kayak, Port Clarence, Alaska, July 1899","Merriam, C. Hart (Clinton Hart), 1855-1942",1899-07,"July, 1899",1899,"From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 173.  Caption on image: Eskimo and Kayak--Port Clarence  Photograph taken by Dr. Clinton Hart Merriam, Chief of the Biological Survey, U.S. Department of Agriculture, member of the 1899 Harriman Alaska Expedition.","From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 173.  
Letterpress printed on album page: Eskimo and Kayak--Port Clarence.  
Photograph taken by Dr. Clinton Hart Merriam, Chief of the Biological Survey, U.S. Department of Agriculture, member of the 1899 Harriman Alaska Expedition.",Kayaks,,Harriman Alaska Expedition (1899); Eskimos--Boats--Alaska--Port Clarence,Inupiat--Boats--Alaska--Port Clarence; Kayaks--Alaska--Port Clarence; Port Clarence (Alaska) ,"Title || Eskimo in kayak, Port Clarence, Alaska, July 1899. || 2023-10;; Subjects (LCSH) || Eskimos--Boats--Alaska--Port Clarence || 2023-10",United states--Alaska--Port Clarence,no change,Harriman Alaska Expedition Collection,HAR045,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.washington.edu/specialcollections/services/reproduction/reproduction Please cite the Order Number","University of Washington Libraries, Special Collections, [Order Number or Negative Number]",NA2123,"University of Washington Libraries, Special Collections",Harriman Alaska Expedition Collection. PH Coll 333,http://archiveswest.orbiscascade.org/ark:/80444/xv20530,Photograph; image,"silver gelatin, b&w             ",Scanned from a photographic print using a Microtek Scanmaker 9600XL at 72 dpi in JPEG format at compression rate 3. 11/1998.,,,,Merriam 236,University of Washington Libraries. Special Collections Division,,http://rightsstatements.org/vocab/CNE/1.0/,For information on permissions for use and reproductions please visit UW Libraries Special Collections Use Permissions page: http://www.lib.washington.edu/specialcollections/services/permission-for-use,StillImage,special collections,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/harriman/id/203,203,205.jpg,Y
JL 2023-11-15,SF 10/26/23,"Four Eskimo children dressed in hair seal or reindeer skin parkas on the beach, Port Clarence, Alaska, July 1899.","Four Iñupiat children dressed in hair seal or reindeer skin parkas on the beach, Port Clarence, Alaska, July 1899","Curtis, Edward S., 1868-1952",1899-07,"July, 1899",1899,"From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 171.  Caption on image: Four of a Kind  Photograph taken by Edward S. Curtis, official photographer, member of the 1899 Harriman Alaska Expedition.","From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 171.  
Letterpress printed on album page: Four of a Kind.  
Photograph taken by Edward S. Curtis, official photographer, member of the 1899 Harriman Alaska Expedition.",Eskimos--Children--Clothing & dress--Alaska--Port Clarence; Leather garments--Alaska--Port Clarence; Fur garments; Group portraits Beaches--Alaska,,Harriman Alaska Expedition (1899); Parkas--Alaska--Port Clarence,Inupiat children--Alaska--Port Clarence; Inupiat--Clothing--Alaska--Port Clarence; Leather garments--Alaska--Port Clarence; Fur garments--Alaska--Port Clarence; Parkas--Alaska--Port Clarence; Beaches--Alaska--Port Clarence; Port Clarence (Alaska),"Title || Four Eskimo children dressed in hair seal or reindeer skin parkas on the beach, Port Clarence, Alaska, July 1899. || 2023-10;; Subjects (LCTGM) || Eskimos--Children--Clothing & dress--Alaska--Port Clarence || 2023-10",United States--Alaska--Port Clarence,no change,Harriman Alaska Expedition Collection,HAR062,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.washington.edu/specialcollections/services/reproduction/reproduction Please cite the Order Number","University of Washington Libraries, Special Collections, [Order Number or Negative Number]",NA2121,"University of Washington Libraries, Special Collections",Harriman Alaska Expedition Collection. PH Coll 333,http://archiveswest.orbiscascade.org/ark:/80444/xv20530,Photograph; image,"silver gelatin, b&w             ",Scanned from a photographic print using a Microtek Scanmaker 9600XL at 72 dpi in JPEG format at compression rate 3. 11/1998.,,,,E.S. Curtis x384,University of Washington Libraries. Special Collections Division,,http://rightsstatements.org/vocab/CNE/1.0/,For information on permissions for use and reproductions please visit UW Libraries Special Collections Use Permissions page: http://www.lib.washington.edu/specialcollections/services/permission-for-use,StillImage,special collections,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/harriman/id/205,205,207.jpg,Y
JL 2023-11-15,SF 10/26/23,"Eskimo children with possibly a member of the expedition on the beach at Port Clarence, Alaska, July 1899.","Iñupiat children with possibly a member of the expedition on the beach at Port Clarence, Alaska, July 1899","Merriam, C. Hart (Clinton Hart), 1855-1942",1899-07,"July, 1899",1899,"From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 172, left.  Caption on image: On the Beach--Port Clarence    Photograph taken by Dr. Clinton Hart Merriam, Chief of the Biological Survey, U.S. Department of Agriculture, member of the 1899 Harriman Alaska Expedition.","From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 172, left.  
Letterpress printed on album page: On the Beach--Port Clarence.   
Photograph taken by Dr. Clinton Hart Merriam, Chief of the Biological Survey, U.S. Department of Agriculture, member of the 1899 Harriman Alaska Expedition.",Eskimos--Children--Clothing & dress--Alaska--Port Clarence; Leather garments--Alaska--Port Clarence; Fur garments; Beaches--Alaska--Port Clarence,,Harriman Alaska Expedition (1899); Parkas--Alaska--Port Clarence,Inupiat children--Alaska--Port Clarence; Inupiat--Clothing--Alaska--Port Clarence; Leather garments--Alaska--Port Clarence; Fur garments--Alaska--Port Clarence; Parkas--Alaska--Port Clarence; Beaches--Alaska--Port Clarence; Port Clarence (Alaska),"Title || Eskimo children with possibly a member of the expedition on the beach at Port Clarence, Alaska, July 1899. || 2023-10;; Subjects (LCTGM) || Eskimos--Children--Clothing & dress--Alaska--Port Clarence || 2023-10",United states--Alaska--Port Clarence,no change,Harriman Alaska Expedition Collection,HAR044,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.washington.edu/specialcollections/services/reproduction/reproduction Please cite the Order Number","University of Washington Libraries, Special Collections, [Order Number or Negative Number]",NA2122,"University of Washington Libraries, Special Collections",Harriman Alaska Expedition Collection. PH Coll 333,http://archiveswest.orbiscascade.org/ark:/80444/xv20530,Photograph; image,"silver gelatin, b&w             ",Scanned from a photographic print using a Microtek Scanmaker 9600XL at 72 dpi in JPEG format at compression rate 3. 11/1998.,,,,Merriam 238,University of Washington Libraries. Special Collections Division,,http://rightsstatements.org/vocab/CNE/1.0/,For information on permissions for use and reproductions please visit UW Libraries Special Collections Use Permissions page: http://www.lib.washington.edu/specialcollections/services/permission-for-use,StillImage,special collections,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/harriman/id/207,207,209.jpg,Y
JL 2023-11-15,SF 10/26/23,"Eskimos in umiaks, or skin boats, bartering their goods and curios alongside the GEO. W. ELDER, Port Clarence, Alaska, July 1899.","Iñupiat people in umiaks, or skin boats, bartering their goods and curios alongside the GEO. W. ELDER, Port Clarence, Alaska, July 1899","Merriam, C. Hart (Clinton Hart), 1855-1942",1899-07,"July, 1899",1899,"From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 169.  Caption on image: Eskimo Traders  Photograph taken by Dr. Clinton Hart Merriam, Chief of the Biological Survey, U.S. Department of Agriculture, member of the 1899 Harriman Alaska Expedition.","From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 169.  
Letterpress printed on album page: Eskimo Traders.  
Photograph taken by Dr. Clinton Hart Merriam, Chief of the Biological Survey, U.S. Department of Agriculture, member of the 1899 Harriman Alaska Expedition.",Barter--Alaska--Port Clarence; Steamboats--Alaska--Port Clarence,,Harriman Alaska Expedition (1899); George W. Elder (Steamship); Eskimos--Boats--Alaska--Port Clarence; Umiaks--Alaska--Port Clarence,Harriman Alaska Expedition (1899); George W. Elder (Steamship); Inupiat--Boats--Alaska--Port Clarence; Umiaks--Alaska--Port Clarence; Steamboats--Alaska--Port Clarence; Barter--Alaska--Port Clarence; Port Clarence (Alaska),"Title || Eskimos in umiaks, or skin boats, bartering their goods and curios alongside the GEO. W. ELDER, Port Clarence, Alaska, July 1899. || 2023-10;; Subjects (LCSH) || Eskimos--Boats--Alaska--Port Clarence || 2023-10",United States--Alaska--Port Clarence,no change,Harriman Alaska Expedition Collection,HAR055,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.washington.edu/specialcollections/services/reproduction/reproduction Please cite the Order Number","University of Washington Libraries, Special Collections, [Order Number or Negative Number]",NA2119,"University of Washington Libraries, Special Collections",Harriman Alaska Expedition Collection. PH Coll 333,http://archiveswest.orbiscascade.org/ark:/80444/xv20530,Photograph; image,"silver gelatin, b&w             ",Scanned from a photographic print using a Microtek Scanmaker 9600XL at 72 dpi in JPEG format at compression rate 3. 11/1998.,,,,Merriam 220,University of Washington Libraries. Special Collections Division,,http://rightsstatements.org/vocab/CNE/1.0/,For information on permissions for use and reproductions please visit UW Libraries Special Collections Use Permissions page: http://www.lib.washington.edu/specialcollections/services/permission-for-use,StillImage,special collections,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/harriman/id/208,208,210.jpg,Y
JL 2023-11-15,SF 10/26/23,"Eskimo baskets, Port Clarence, Alaska, July 1899.","Iñupiat baskets, Port Clarence, Alaska, July 1899","Curtis, Edward S., 1868-1952",1899-07,"July, 1899",1899,"From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 189.  Caption on image: Eskimo Baskets  Photograph taken by Edward S. Curtis, official photographer, member of the 1899 Harriman Alaska Expedition.","From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 189.  
Letterpress printed on album page: Eskimo Baskets. 
Photograph taken by Edward S. Curtis, official photographer, member of the 1899 Harriman Alaska Expedition.",Eskimos--Arts & crafts--Alaska--Port Clarence,,Harriman Alaska Expedition (1899); Eskimo baskets--Alaska--Port Clarence; Eskimo arts--Alaska--Port Clarence,Inupiat baskets--Alaska--Port Clarence; Inupiat art--Alaska--Port Clarence,"Title || Eskimo baskets, Port Clarence, Alaska, July 1899. || 2023-10;; Subjects (LCTGM) || Eskimos--Arts & crafts--Alaska--Port Clarence || 2023-10;; Subjects (LCSH) || Eskimo baskets--Alaska--Port Clarence;; Eskimo arts--Alaska--Port Clarence || 2023-10",United States--Alaska--Port Clarence,no change,Harriman Alaska Expedition Collection,HAR040,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.washington.edu/specialcollections/services/reproduction/reproduction Please cite the Order Number","University of Washington Libraries, Special Collections, [Order Number or Negative Number]",NA2127,"University of Washington Libraries, Special Collections",Harriman Alaska Expedition Collection. PH Coll 333,http://archiveswest.orbiscascade.org/ark:/80444/xv20530,Photograph; image,"silver gelatin, b&w             ",Scanned from a photographic print using a Microtek Scanmaker 9600XL at 72 dpi in JPEG format at compression rate 3. 11/1998.,,,,E.S. Curtis x410,University of Washington Libraries. Special Collections Division,,http://rightsstatements.org/vocab/CNE/1.0/,For information on permissions for use and reproductions please visit UW Libraries Special Collections Use Permissions page: http://www.lib.washington.edu/specialcollections/services/permission-for-use,StillImage,special collections,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/harriman/id/220,220,222.jpg,Y
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
